id,label,source,text
507539196fd10257,phishing,kaggle_nigerian_fraud,"SUBJECT: Urgent Response
FROM: Mariam Camara 
BODY: Dear good friend Greetings to you.Please pardon me for contacting you without any formal appointment or communication do consider my status as asylum seeker in Porto-Novo Benin.I will like to seek your assistance in receiving and investing the sum of US$4.8M held in a holding finance company in europe.The money was deposited by my late father who was killed last year by the rebels during he uprising in Abidjan-Cote d' Ivoire. He was until his sudden death a diamond /cocoa dealer in Angola and Cote d' Ivoire which is where he made his wealth. Me and my mother arrived Dakar few days ago and confirmed the validity of this deposit then decided to contact you for assistance in view of our present situations. We got your contact through the Internet data base while searching for my father'sfriends in your country. More details will be given to you as soon as i hear from you.Please include some of your personal details for us to establish a good business and family relationship. I look forward to hearing from you Honestly yours Mariam Camara"
5db69120a08c1aab,phishing,kaggle_nazario,"SUBJECT:   Failure Delivery Notification.
FROM:    Delivery System <  
BODY: This mail is from a trusted sender.   Dear  ,  has prevented the delivery of 3 new emails to your inbox ( emailtoken ) as of Wednesday,December 5 , yeartoken 3:41 PM (UTC) because it identified these messages as spam.You can review these here and choose what happens to them Review Message © yeartoken   Corporation. All rights reserved. |Acceptable Use Policy | Privacy Notice"
cf014dba0a5a28e3,ham,kaggle_ceas_08,"SUBJECT: ietf-dkim Digest, Vol 106, Issue 5
FROM:  
BODY: Send ietf-dkim mailing list submissions to emailtoken To subscribe or unsubscribe via the World Wide Web, visit urltoken urldomain_mipassoc_org or, via email, send a message with subject or body 'help' to emailtoken You can reach the person managing the list at emailtoken When replying, please edit your Subject line so it is more specific than ""Re: Contents of ietf-dkim digest..."" Today's Topics: 1. Re: draft-ietf-dkim-ssp-02.txt ASP/SSP section 2.8 (Eric Allman) 2. Re: draft-ietf-dkim-ssp-02.txt ASP/SSP section 2.8 (Hector Santos) 3. Re: draft-ietf-dkim-ssp-02.txt Discardable/Exclusive (Douglas Otis) 4. RE: draft-ietf-dkim-ssp-02.txt ASP/SSP section 2.8 (J D Falk) 5. Re: draft-ietf-dkim-ssp-02.txt ASP/SSP section 2.8 (Eric Allman) 6. Re: draft-ietf-dkim-ssp-02.txt Discardable/Exclusive (Eric Allman) 7. Re: draft-ietf-dkim-ssp-02.txt Discardable/Exclusive (Steve Atkins) ---------------------------------------------------------------------- >From emailtoken Sun Feb 24 10:27:37 yeartoken Message: 1 Date: Thu, 07 Feb yeartoken 16:54:38 -0800 From: Eric Allman Subject: Re: [ietf-dkim] draft-ietf-dkim-ssp-02.txt ASP/SSP section 2.8 To: Hector Santos Cc: DKIM List Message-ID: < emailtoken > Content-Type: text/plain; charset=us-ascii; format=flowed Hector, Some of what you say is correct, but other descriptions of changes in SSP-02 don't match what we were trying to do. It may well be that we didn't get the wording right yet. First, a confession: most of the major changes in -02 are my doing. In particular, I think I pushed some things onto Jim that went further than he had wanted. I think it's unfair to ask Jim to defend things that are basically my own responsibility. I particularly apologize because I went in for major surgery just about the time this was hitting the fan, and I'm not yet fully functioning. There's a certain philosophical difference between folks on this list. Some want SSP to be extremely specific. Others have gone on at length that the SSP spec has no right or authority to impose its own will on receivers. I have sympathies for both positions, but I have to agree that there is no chance that we can successfully dictate how receivers operate. I've said publicly many times that receivers will simply ignore the specs if it makes their lives better --- as we see today with intentional violations of RFC 2822. SSP-02 is an attempt to pare SSP down to appeal to the second set. Yes, that weakens SSP, but that seems inevitable at this point. In particular, I'm concerned that without giving receivers any guidance on how certain situations should be handled we'll end up in a fairly chaotic state. However, I do agree that such guidance should probably go in a non-standards-track document. A few specific points from your message: --On February 6, yeartoken 1:46:58 AM -0500 Hector Santos wrote: [...] > With SSP-02/ASP, we lost the powerful SSP-01 DKIM=ALL protection > against 3rd party fraud. Speaking about SSP-02, I'm not sure how you see we've lost that ""protection"". In -01, DKIM=ALL specifically allowed 3PS (Third-Party Signatures), so arguably it was weaker before. Under SSP-02, a receiver could decide that 3PS should be treated more harshly (where ""more harshly"" doesn't necessarily mean ""discard"" --- it could just mean do content scanning on the message). We did remove all discussion of 3PS. The extended list discussion around them made it clear that we just don't have enough operational knowledge at this time to understand how they should work. As such, we are now leaving all interpretation of 3rd party signatures up to the receiver. That doesn't mean we've necessarily lost the ability to handle 3PS in a distinct way, but it will have to go into another document, at least for now. > The NEVER concept can still be covered using DKIM=DISCARDABLE and a > NULL DKIM public key. > > The EXCLUSIVE concept can still be covered using DKIM=DISCARDABLE. Except that DISCARDABLE doesn't prohibit 3PS. It doesn't even say that messages without any signatures MUST or even SHOULD be discarded. All it says is how the purported author domain views the messages that it sends out. The furthest it goes is to say that the purported Author Domain ""encourages the recipient(s) to discard it."" > But anything related to 3rd party signers was completely eliminated > in SSP-02/ASP. Even though SSP-02 DKIM=ALL is a ""always sign for > 1st party authors"" concept, it is basically a DKIM=DISCARDABLE > without semantics on REJECTION. DKIM=DISCARDABLE failures is > explicit with the REJECTION control. DKIM=ALL failures are not. SSP-02 DKIM=ALL is not a ""always sign for 1st party authors"" concept. It doesn't even mention first parties, any more than it mentions 3rd parties. All it says is ""when the message left my control, I had signed it."" It says absolutely nothing about how the receiver should handle the message. Similarly, and as noted above, DKIM=DISCARDABLE makes no normative assertions about what the receiver should do with the message. It is impossible to say anything about when the receiver should reject messages without stepping into the forbidden territory of forcing a certain behavior on the receiver. > In short, DKIM=ALL is the SPF version of SOFTFAIL where you can > record it, but you do not take any REJECTION action on it. Just > like SPF. There's nothing that prevents the recipient from rejecting messages under a DKIM=ALL condition. In fact (if we did it as intended) there is no normative language anywhere in SSP-02 about how the receiver should process messages, be they signed, unsigned, or 3PS. [...] > But that is not the case with DKIM. Here we have 100% detectable > fraud capabilities that is unrelated to legitimate multiple hope IP > issues and ASP is mandating a flawed inherent policy that RECEIVERS > should ignore certain kinds of obvious fraudulent messages. I'm not speaking to ASP, but SSP-02 makes (or is intended to make) NO normative restrictions on when the receiver should accept or reject a"
5686aa65d8b3fa2c,spam,kaggle_ceas_08,"SUBJECT: Get help from medical doctor listing in the United States
FROM:  
BODY: Forget about bad intimate experience. urltoken urldomain_readygave_com"
43932e61c45040da,spam,kaggle_ling,"SUBJECT: family name history
FROM:  
BODY: discover your family history come visit our website at , http : / / www . traceit . com free search do you know who your ancestors are and what they did ? do you know when your surname first appeared ? are you curious about where your family roots originate ? now you can fill in the missing pieces of this puzzle . join the satisfied multitudes who have discovered their complete family surname history . all nationalities . it 's easy . just key your last name into our online index , and in seconds we will tell you it 's origin and much more . see if we ' ve researched your complete family name history during our 25 years of professional research . read a sample history , plus - free coat of arms keychain with your family 's most ancient coat of arms & crest . all in full color . your family name history parchment is 11x 17 "" , approximately 1700 words . it is beautifully illuminated by your most ancient coat of arms in full authentic heraldic colors . over 500 urls on family and heraldic history . please come visit our website at , http : / / www . traceit . com free search hall of names international inc . 1-888 - my - roots"
8d1f6cd68e01086c,ham,kaggle_enron,"SUBJECT: start date : 12 / 20 / 01 ; hourahead hour : 7 ;
FROM:  
BODY: start date : 12 / 20 / 01 ; hourahead hour : 7 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ numbertoken . txt"
de962144702aebbf,spam,kaggle_enron,"SUBJECT: save your money by getting an oem software !
FROM:  
BODY: need in software for your pc ? just visit our site , we might have what you need . . . best regards , alejandrina"
0f86cd26a375ad8a,spam,kaggle_ceas_08,"SUBJECT: Revolutionary mens health aid has arrived
FROM: hghghyt 
BODY: Genuine attraction happens when your friend can now feel the size of your tool urltoken urldomain_brightdone_com"
6050cc0c760195fd,spam,kaggle_ceas_08,"SUBJECT: Fun fun fun
FROM: aube jules 
BODY: If you are trying to find cheap health shop. You wont find better solution than our site. We have everything to help to recover of deseasess.Even if you need fast delivery at your door you can always count on us. Get the most qualified help as fast as a mouse click. evennecessary.com 5 Aug yeartoken 19:05:02 young bad"
1b4939470b60e69c,ham,kaggle_ling,"SUBJECT: cl school : contemporary topics in computational linguistics
FROM:  
BODY: * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * sixth international summer school "" contemporary topics in computational linguistics "" hotel orpheus , tzigov chark , bulgaria 7 - 9 sept ' 97 http : / / www . cogs . susx . ac . uk / lab / nlp / ranlp / 97 . html [ summer school ] * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * the sixth summer school "" contemporary topics in computational linguistics "" immediately precedes the international conference "" recent advances in natural language processing ( ranlp ' 97 ) "" ( 11-13 sept ' 97 , same location ) . the school will continue its tradition of offering both introductory and advanced courses . the programme will consist of tutorials and short courses . lecturers _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ * yorick wilks ( university of sheffield ) information extraction * sergei nirenburg ( new mexico state university ) multi - engine machine translation environments * pieter seuren ( nijmegen university ) semantic syntax * branimir boguraev ( apple computer , cupertino ) linguistically intensive content characterisation * michael zock ( limsi , cnrs ) natural language generation * harald trost ( austrian institute for ai ) computational morphology * tony mcenery ( lancaster university ) corpus linguistics * ruslan mitkov ( university of wolverhampton ) recent developments in anaphora resolution * carlos martin - vide ( university of tarragona ) natural computation for natural language * benjamin tsou ( city university of hong kong ) automatic abstracting course descriptions are available at : http : / / www . cogs . susx . ac . uk / lab / nlp / ranlp / 97 . html [ summer school ] location _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ tzigov chark is a beautiful resort in the rhodope mountains on the shores of batak lake . it is approximately 145 km from sofia , the capital of bulgaria . a minibus will provide reasonably-priced transport between sofia airport and the summer school 's hotel . registration fees _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ industrial participants 150 usd academic staff 110 usd students 80 usd accommodation and half-board prices _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ * option 1 hotel orpheus accommodation and half-board ( breakfast and lunch ) 40 usd a day ( single room ) 30 usd a day ( if sharing a twin-bedded room ) * option 2 guest house belonging to the higher medical institute ( vmi ) plovdiv . 2 - 3 minutes walking distance from the hotel orpheus amidst beautiful fir trees . accommodation and half-board ( breakfast and lunch ) 20 usd a day ( single room ) 15 usd a day ( if sharing a twin-bedded room ) * option 3 accommodation at vmi guest house , half-board at hotel orpheus 30 usd a day ( single room ) 25 usd a day ( if sharing a twin-bedded room ) option 2 : two years ago the guest house had fixed times for meals which clashed with the programme . the local organisers are trying to sort this out . if you would like to share a room , please let us know ; would you please also specify if you wish to share the room with someone in particular . registration _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ all participants are requested to complete the following registration form and send it to victoria arranz < victoria @ ccl . umist . ac . uk > we regret to inform you that the local organisers have difficulties in processing cheques , bank transfers and credit card payments . you are kindly requested to pay the registration fees and accommodation / half-board on site in cash . any major currency will be accepted ; us dollars , german marks & british pounds are preferable . ! registration form _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ! ! ! names . . . : ! organisation : ! country . . : ! fax . . . . : ! telephone . : ! email . . . : ! ! ! * accommodation and half-board ! ! [ ] option 1 ! [ ] option 2 ! [ ] option 3 ! ! [ ] single room ! [ ] double room ( to be shared with another participant ) ! ! i 'd like to share the room with : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ( specify name ) ! ! for the period ( delete as appropriate ) ! ! [ 6 ] [ 7 ] [ 8 ] [ 9 ] [ 10 ] [ 11 ] [ 12 ] [ 13 ] [ 14 ] september yeartoken ! < - school - - > < - - ranlp ' 97 - - > ! ! ! amount to be paid on site in cash : ! ! accommodation + half board : _ _ _ usd / dm / gbp ! registration fee : _ _ _ usd / dm / gbp ! ! ( please specify the amount you are going to pay in usd or ! the equivalent in german marks or british pounds ) ! ! _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ < mailto : victoria @ ccl . umist . ac . uk > _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ please reserve your accommodation as soon as possible . accommodation capacity in both "" hotel orpheus "" and vmi guest house are limited : all reservations will be dealt with on a first-come , first-served basis . summer school information _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ for further information , if you wish to participate please contact : - victoria arranz < victoria @ ccl . umist . ac . uk > or - malgorzata stys < m . stys @ cl . cam . ac . uk > if you wish to exhibit books / software : - nicolas nicolov < nicolas @ cogs . susx . ac . uk > related events _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ the summer school will be followed by the international conference "" recent advances in natural language processing ( ranlp ' 97 ) "" . http : / / www . cogs . susx . ac . uk / lab / nlp / ranlp / 97 . html"
